index,x,y,d_P,d_Q,v_max,v_min,beta_0,beta_1
84,57,-3,0.0132,0.0033,1.21,0.81,0,0
85,57,-4,0.0201,0.0033,1.21,0.81,0,0
86,54,0,0.0201,0.0033,1.21,0.81,0,0
87,53,0,0.0201,0.0033,1.21,0.81,0,0
88,52,0,0.0201,0.0033,1.21,0.81,0,0
89,51,0,0.0201,0.0033,1.21,0.81,0,0
90,50,0,0.0201,0.0033,1.21,0.81,0,0
91,49,0,0.0201,0.0033,1.21,0.81,0,0
92,48,-1,0.0201,0.0033,1.21,0.81,0,0
93,47,-1,0.0201,0.0033,1.21,0.81,0,0
94,47,0,0.0201,0.0033,1.21,0.81,0,0
95,47,-1,0.0201,0.0033,1.21,0.81,0,0
96,47,-2,0.0201,0.0033,1.21,0.81,0,0
97,47,-3,0.0201,0.0033,1.21,0.81,0,0
98,48,-1,0.0201,0.0033,1.21,0.81,0,0
99,49,-1,0.0201,0.0033,1.21,0.81,0,0
100,49,-2,0.0201,0.0033,1.21,0.81,0,0
101,49,-3,0.0201,0.0033,1.21,0.81,0,0
102,48,0,0.0201,0.0033,1.21,0.81,0,0
103,49,0,0.0201,0.0033,1.21,0.81,0,0
104,50,0,0.0201,0.0033,1.21,0.81,0,0
105,49,1,0.0201,0.0033,1.21,0.81,0,0
106,49,2,0.0201,0.0033,1.21,0.81,0,0
107,47,1,0.0201,0.0033,1.21,0.81,0,0
108,47,2,0.0201,0.0033,1.21,0.81,0,0
109,57,-2,0.0201,0.0033,1.21,0.81,0,0
110,56,-2,0.0201,0.0033,1.21,0.81,0,0
111,55,-2,0.0201,0.0033,1.21,0.81,0,0
112,54,-2,0.0201,0.0033,1.21,0.81,0,0
